SITE,TREATMENT,TRAP,RUBUS,PRSE2,PIPA2,SMILAX,PHAM4,PIEC2
16,BURN,16BA,4,0,0,0,0,0
16,BURN,16BB,2,2,0,0,0,0
16,BURN,16BC,3,0,1,0,0,0
16,CONTROL,16CA,10,0,0,0,0,6
16,CONTROL,16CB,6,0,1,0,0,2
16,CONTROL,16CC,0,0,2,0,1,4
17,BURN,17BA,18,0,1,0,0,1
17,BURN,17BB,124,1,3,0,15,2
17,BURN,17BC,59,0,0,0,4,1
17,CONTROL,17CA,20,0,6,0,0,0
17,CONTROL,17CB,60,1,4,3,9,0
17,CONTROL,17CC,102,0,2,0,26,0
1,BURN,1BA,3,0,5,0,0,2
1,BURN,1BB,166,0,7,3,0,10
1,BURN,1BC,351,4,3,0,50,1
1,CONTROL,1CA,596,0,2,1,541,1
1,CONTROL,1CB,74,0,2,11,510,0
1,CONTROL,1CC,7,0,0,6,20,0
4,BURN,4BA,1,1,0,0,0,2
4,BURN,4BB,0,0,2,0,0,7
4,BURN,4BC,269,4,1,0,0,5
4,CONTROL,4CA,11,0,1,0,0,3
4,CONTROL,4CB,5,0,1,0,0,5
4,CONTROL,4CC,2,0,2,0,0,1
6,BURN,6BA,1,0,8,0,0,7
6,BURN,6BB,0,0,1,0,0,6
6,BURN,6BC,4,0,6,0,0,1
6,CONTROL,6CA,0,0,3,0,0,2
6,CONTROL,6CB,0,0,4,0,0,0
6,CONTROL,6CC,5,0,2,0,0,2
7,BURN,7BA,0,3,9,5,0,4
7,BURN,7BB,0,0,5,5,0,3
7,BURN,7BC,0,0,1,0,0,0
7,CONTROL,7CA,4,0,8,0,0,0
7,CONTROL,7CB,1,0,3,0,0,1
7,CONTROL,7CC,33,0,3,0,0,2
8,BURN,8BA,1,42,2,0,0,6
8,BURN,8BB,95,1,5,1,0,3
8,BURN,8BC,56,0,3,1,0,1
8,CONTROL,8CA,0,0,8,0,0,4
8,CONTROL,8CB,8,0,4,0,28,1
8,CONTROL,8CC,358,0,1,2,3,0
